Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;B;B1;AQ00000054;20;Abitazioni civili;OTTIMO;P;1450;2150;L;5,8;8,7;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;B;B1;AQ00000054;21;Abitazioni di tipo economico;OTTIMO;P;1150;1700;L;4,8;7,1;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;B;B1;AQ00000054;16;Autorimesse;NORMALE;P;0;0;L;;;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;B;B1;AQ00000054;13;Box;NORMALE;P;0;0;L;;;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;B;B1;AQ00000054;14;Posti auto coperti;NORMALE;P;1050;1550;L;5,6;8;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;B;B1;AQ00000054;9;Magazzini;OTTIMO;P;900;1400;L;3,9;5,8;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;B;B1;AQ00000054;5;Negozi;OTTIMO;P;1800;3100;L;9,7;19,4;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;B;B1;AQ00000054;6;Uffici;OTTIMO;P;1350;2050;L;7;10,4;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;B;B1;AQ00000054;10;Laboratori;NORMALE;P;0;0;L;;;L;
SUD;ABRUZZO;AQ;13066049;N1AA; ;A345;L`AQUILA;B;B2;AQ00000055;20;Abitazioni civili;OTTIMO;P;1400;1850;L;6;7,6;L;
